M_X,alpha,mean,rms
280,0.014,275.5024396415126,5.407176838236189
250,0.022,245.7851917500742,4.593420800468172
300,0.028,293.69248267838617,6.671675527984929
260,0.017,255.41841791151603,4.968988889558594
270,0.011000000000000001,265.75504772556735,5.108204699488218
330,0.005,324.8126522592818,6.527570289762311
320,0.028000000000000004,313.45956566683725,7.302505839928809
330,0.018000000000000002,323.939070436701,7.2815703214076075
320,0.026000000000000002,313.4595656899463,7.302505826489845
330,0.007,324.9506957210647,6.716295414248781
320,0.028999999999999998,313.4595657336576,7.30250584354063
320,0.027000000000000003,313.45956572383227,7.30250577494492
330,0.017,323.9390704712735,7.281570238986188
330,0.014,324.52745579729805,6.805074253525908
330,0.020999999999999998,323.7636381280393,7.12054779316789
330,0.01,324.9539054185174,6.7311225643193024
330,0.028,323.27741772906637,7.525917493007213
310,0.018,304.2387986691626,6.732374225500192
320,0.024,313.8597005599816,6.980003407541086
260,0.005,255.89550204196388,4.642696340547835
280,0.013000000000000001,275.5024396539412,5.407176838957437
300,0.011,294.978968820779,6.143342440983461
250,0.021,245.7851917282948,4.593420772029909
260,0.014,255.95344263551928,4.763741892314742
250,0.011,246.1734623101023,4.406354665288402
260,0.024,255.52379020045134,4.857484178650923
270,0.024,265.2297364153899,5.159061665994618
280,0.027,274.2679169071584,6.019842094222663
300,0.026,293.692482673549,6.671675535146731
270,0.01,266.06756133561765,4.965493475255608
330,0.026,323.2774177544468,7.525917488313462
310,0.014,304.85653563189015,6.41448645087001
260,0.026,255.00022735555146,5.107837672097506
320,0.009,315.1229050610713,6.532389019995439
290,0.020999999999999998,284.61405046322693,5.8178356590409495
250,0.01,246.2590657625076,4.499724679629716
330,0.019,323.93907046022684,7.281570280672031
340,0.008,334.8581120854324,6.8867620265688165
340,0.01,334.84601361284615,6.885365566607912
340,0.019,333.803896338855,7.6493731229491235
330,0.023,323.76363810140884,7.12054785851772
340,0.028999999999999998,333.1365667303708,7.770335210774711
330,0.008,324.95069571190515,6.716295451905297
330,0.013,324.52745583872195,6.805074242451177
350,0.008,344.7000472711592,7.165683299255936
340,0.012,334.37944869617195,7.072146199109546
350,0.005,344.72926437724493,6.882676971680686
340,0.016,333.8038963313864,7.649373099271312
340,0.025,333.62078084656264,7.411499634796667
330,0.016,323.93907036325373,7.281570365292755
350,0.026,343.0377831511395,8.104290289951182
340,0.005,334.70356773968007,6.780557561285925
340,0.022000000000000002,333.5850803857611,7.45973351076921
340,0.027,333.13656676770063,7.770335204397052
350,0.019,343.9262876218384,7.80264350348698
340,0.006999999999999999,334.8581120245197,6.886762124653424
340,0.024,333.5850804966607,7.459733407647845
350,0.014,344.31959223978396,7.171630602965452
340,0.023,333.5850803056678,7.45973345653603
340,0.006,334.85811213282125,6.886761958989982
320,0.007000000000000001,315.1229050618939,6.532389079854782
320,0.022,313.8597005958192,6.980003461216362
310,0.016,304.2387986663909,6.732374182719031
280,0.025,274.85614279994564,5.598047187150828
350,0.023000000000000003,343.33636160891797,7.895374422787447
270,0.022000000000000002,265.22973637384376,5.159061680838296
340,0.02,333.94583472753567,7.3860453094408385
350,0.015,344.2637587702162,7.286129615659978
280,0.011000000000000001,275.5024395897787,5.407176829975482
340,0.017,333.8038963761583,7.649373074112508
